t,h_GR,h_model
1.4953738434608653e+01,6.7994448441414646e-01,6.7994448441414646e-01
1.5003750937734434e+01,6.8177597400401146e-01,6.8177597400401146e-01
1.5053763440860216e+01,6.8360320036491140e-01,6.8360320036491140e-01
1.5103775943985998e+01,6.8542615207097513e-01,6.8542615207097513e-01
1.5153788447111779e+01,6.8724481772306167e-01,6.8724481772306167e-01
1.5203800950237561e+01,6.8905918594883120e-01,6.8905918594883120e-01
1.5253813453363341e+01,6.9086924540281591e-01,6.9086924540281591e-01
1.5303825956489122e+01,6.9267498476649192e-01,6.9267498476649192e-01
1.5353838459614904e+01,6.9447639274834883e-01,6.9447639274834883e-01
1.5403850962740686e+01,6.9627345808396113e-01,6.9627345808396113e-01
1.5453863465866467e+01,6.9806616953605838e-01,6.9806616953605838e-01
1.5503875968992249e+01,6.9985451589459557e-01,6.9985451589459557e-01
1.5553888472118031e+01,7.0163848597682321e-01,7.0163848597682321e-01
1.5603900975243812e+01,7.0341806862735690e-01,7.0341806862735690e-01
1.5653913478369594e+01,7.0519325271824762e-01,7.0519325271824762e-01
1.5703925981495374e+01,7.0696402714905116e-01,7.0696402714905116e-01
1.5753938484621155e+01,7.0873038084689732e-01,7.0873038084689732e-01
1.5803950987746937e+01,7.1049230276655917e-01,7.1049230276655917e-01
1.5853963490872719e+01,7.1224978189052268e-01,7.1224978189052268e-01
1.5903975993998500e+01,7.1400280722905463e-01,7.1400280722905463e-01
1.5953988497124282e+01,7.1575136782027227e-01,7.1575136782027227e-01
1.6004001000250064e+01,7.1749545273021109e-01,7.1749545273021109e-01
1.6054013503375845e+01,7.1923505105289387e-01,7.1923505105289387e-01
1.6104026006501627e+01,7.2097015191039859e-01,7.2097015191039859e-01
1.6154038509627409e+01,7.2270074445292620e-01,7.2270074445292620e-01
1.6204051012753190e+01,7.2442681785886887e-01,7.2442681785886887e-01
1.6254063515878972e+01,7.2614836133487748e-01,7.2614836133487748e-01
1.6304076019004754e+01,7.2786536411592895e-01,7.2786536411592895e-01
1.6354088522130532e+01,7.2957781546539369e-01,7.2957781546539369e-01
1.6404101025256313e+01,7.3128570467510334e-01,7.3128570467510334e-01
1.6454113528382095e+01,7.3298902106541652e-01,7.3298902106541652e-01
1.6504126031507877e+01,7.3468775398528663e-01,7.3468775398528663e-01
1.6554138534633658e+01,7.3638189281232769e-01,7.3638189281232769e-01
1.6604151037759440e+01,7.3807142695288153e-01,7.3807142695288153e-01
1.6654163540885222e+01,7.3975634584208350e-01,7.3975634584208350e-01
1.6704176044011003e+01,7.4143663894392853e-01,7.4143663894392853e-01
1.6754188547136785e+01,7.4311229575133764e-01,7.4311229575133764e-01
1.6804201050262566e+01,7.4478330578622254e-01,7.4478330578622254e-01
1.6854213553388348e+01,7.4644965859955226e-01,7.4644965859955226e-01
1.6904226056514130e+01,7.4811134377141775e-01,7.4811134377141775e-01
1.6954238559639911e+01,7.4976835091109739e-01,7.4976835091109739e-01
1.7004251062765693e+01,7.5142066965712195e-01,7.5142066965712195e-01
1.7054263565891475e+01,7.5306828967733930e-01,7.5306828967733930e-01
1.7104276069017256e+01,7.5471120066897857e-01,7.5471120066897857e-01
1.7154288572143038e+01,7.5634939235871579e-01,7.5634939235871579e-01
1.7204301075268820e+01,7.5798285450273684e-01,7.5798285450273684e-01
1.7254313578394598e+01,7.5961157688680192e-01,7.5961157688680192e-01
1.7304326081520379e+01,7.6123554932631010e-01,7.6123554932631010e-01
1.7354338584646161e+01,7.6285476166636212e-01,7.6285476166636212e-01
1.7404351087771943e+01,7.6446920378182392e-01,7.6446920378182392e-01
1.7454363590897724e+01,7.6607886557739069e-01,7.6607886557739069e-01
1.7504376094023506e+01,7.6768373698764936e-01,7.6768373698764936e-01
1.7554388597149288e+01,7.6928380797714169e-01,7.6928380797714169e-01
1.7604401100275069e+01,7.7087906854042720e-01,7.7087906854042720e-01
1.7654413603400851e+01,7.7246950870214537e-01,7.7246950870214537e-01
1.7704426106526633e+01,7.7405511851707853e-01,7.7405511851707853e-01
1.7754438609652414e+01,7.7563588807021344e-01,7.7563588807021344e-01
1.7804451112778196e+01,7.7721180747680407e-01,7.7721180747680407e-01
1.7854463615903978e+01,7.7878286688243237e-01,7.7878286688243237e-01
1.7904476119029759e+01,7.8034905646307084e-01,7.8034905646307084e-01
1.7954488622155541e+01,7.8191036642514367e-01,7.8191036642514367e-01
1.8004501125281323e+01,7.8346678700558769e-01,7.8346678700558769e-01
1.8054513628407104e+01,7.8501830847191367e-01,7.8501830847191367e-01
1.8104526131532882e+01,7.8656492112226706e-01,7.8656492112226706e-01
1.8154538634658664e+01,7.8810661528548909e-01,7.8810661528548909e-01
1.8204551137784446e+01,7.8964338132117651e-01,7.8964338132117651e-01
1.8254563640910227e+01,7.9117520961974253e-01,7.9117520961974253e-01
1.8304576144036009e+01,7.9270209060247643e-01,7.9270209060247643e-01
1.8354588647161791e+01,7.9422401472160375e-01,7.9422401472160375e-01
1.8404601150287572e+01,7.9574097246034603e-01,7.9574097246034603e-01
1.8454613653413354e+01,7.9725295433297982e-01,7.9725295433297982e-01
1.8504626156539135e+01,7.9875995088489682e-01,7.9875995088489682e-01
1.8554638659664917e+01,8.0026195269266232e-01,8.0026195269266232e-01
1.8604651162790699e+01,8.0175895036407441e-01,8.0175895036407441e-01
1.8654663665916480e+01,8.0325093453822261e-01,8.0325093453822261e-01
1.8704676169042262e+01,8.0473789588554656e-01,8.0473789588554656e-01
1.8754688672168044e+01,8.0621982510789414e-01,8.0621982510789414e-01
1.8804701175293825e+01,8.0769671293857970e-01,8.0769671293857970e-01
1.8854713678419607e+01,8.0916855014244227e-01,8.0916855014244227e-01
1.8904726181545389e+01,8.1063532751590273e-01,8.1063532751590273e-01
1.8954738684671170e+01,8.1209703588702198e-01,8.1209703588702198e-01
1.9004751187796948e+01,8.1355366611555791e-01,8.1355366611555791e-01
1.9054763690922730e+01,8.1500520909302265e-01,8.1500520909302265e-01
1.9104776194048512e+01,8.1645165574273948e-01,8.1645165574273948e-01
1.9154788697174293e+01,8.1789299701989993e-01,8.1789299701989993e-01
